w_cpu,w_ram,w_bw,w_lat,w_dq,Duration_s,Final_Accuracy,Final_Loss
0.3,0.1,0.2,0.1,0.3,1157,0.346522,1.772835
0.3,0.1,0.2,0.2,0.2,1213,0.376957,1.707760
0.3,0.1,0.2,0.3,0.1,1163,0.344681,1.778969
0.3,0.1,0.3,0.1,0.2,1108,0.353617,1.846871
0.3,0.1,0.3,0.2,0.1,1124,0.334565,1.821930
0.3,0.1,0.4,0.1,0.1,1216,0.343913,1.742990
0.3,0.2,0.1,0.1,0.3,1099,0.363913,1.760186
0.3,0.2,0.1,0.2,0.2,1050,0.334130,1.793526
0.3,0.2,0.1,0.3,0.1,1119,0.343478,1.789506
0.3,0.2,0.2,0.1,0.2,1215,0.320652,1.849799
0.3,0.2,0.2,0.2,0.1,1079,0.348261,1.774308
0.3,0.2,0.3,0.1,0.1,1088,0.301739,1.877320
0.3,0.3,0.1,0.1,0.2,1209,0.360889,1.728847
0.3,0.3,0.1,0.2,0.1,1161,0.361957,1.712398
0.3,0.3,0.2,0.1,0.1,1059,0.349130,1.754665
0.3,0.4,0.1,0.1,0.1,1120,0.381739,1.736904
0.4,0.1,0.1,0.1,0.3,1191,0.338913,1.821046
0.4,0.1,0.1,0.2,0.2,1074,0.374348,1.770207
0.4,0.1,0.1,0.3,0.1,1065,0.400435,1.647655
0.4,0.1,0.2,0.1,0.2,1118,0.328696,1.805409
0.4,0.1,0.2,0.2,0.1,1169,0.338043,1.767965
0.4,0.1,0.3,0.1,0.1,1072,0.361522,1.767221
0.4,0.2,0.1,0.1,0.2,1042,0.320217,1.833661
0.4,0.2,0.1,0.2,0.1,1091,0.358696,1.747175
0.4,0.2,0.2,0.1,0.1,1142,0.345652,1.739403
0.4,0.3,0.1,0.1,0.1,1066,0.273696,1.908065
0.5,0.1,0.1,0.1,0.2,1102,0.340435,1.780649
0.5,0.1,0.1,0.2,0.1,1069,0.328261,1.797212
0.5,0.1,0.2,0.1,0.1,1051,0.354348,1.744602
0.5,0.2,0.1,0.1,0.1,1089,0.305217,1.886536
0.6,0.1,0.1,0.1,0.1,1102,0.309565,1.915607
1.0,0.0,0.0,0.0,0.0,1194,0.359348,1.690476
0.0,1.0,0.0,0.0,0.0,1110,0.384348,1.708486
0.0,0.0,1.0,0.0,0.0,1111,0.360652,1.766533
0.0,0.0,0.0,1.0,0.0,1105,0.359565,1.780066
0.0,0.0,0.0,0.0,1.0,1100,0.377174,1.717616
